date (yyyy/mm/dd),time (UT),detector,AW (deg),Central PA (deg),height (Rs),center_mass (Rs),mass (g),potential (erg)
2013/01/29,02:47:49,C2,50.00,357.88,2.80,2.17,2.207e+14,2.311e+29
2013/02/09,07:24:52,c2B,60.00,321.25,5.00,3.78,1.360e+15,1.933e+30
2013/01/29,05:24:00,c2A,55.00,34.38,6.30,4.32,6.717e+14,9.750e+29
2013/01/29,03:05:55,c1B,58.00,340.25,2.90,2.09,9.414e+14,9.447e+29
2013/05/18,00:39:27,c2B,54.00,141.34,14.20,8.72,2.308e+15,3.874e+30
2010/12/12,06:57:34,C2,41.00,29.59,3.90,3.04,4.311e+14,5.530e+29
2013/01/29,03:15:00,c1A,53.00,28.1,3.30,2.30,9.061e+14,9.767e+29
2010/12/12,08:09:37,C2,46.00,30.11,5.90,4.43,9.030e+14,1.340e+30
2010/12/12,06:15:00,c1A,40.00,38.74,3.50,2.14,1.085e+15,1.064e+30
2013/06/08,02:39:19,c2B,57.00,166.5,15.50,9.42,4.477e+15,7.614e+30
2013/06/08,02:39:19,c2B,59.00,167.31,15.50,9.33,4.639e+15,7.880e+30
2013/01/23,16:54:00,c2A,87.00,34.12,9.70,5.72,3.118e+15,4.928e+30
2011/06/05,05:20:25,c1B,67.00,313.84000000000003,3.60,2.74,1.279e+15,1.703e+30
2011/03/17,14:24:26,c2B,72.00,119.54,11.00,6.03,7.005e+15,1.111e+31
2011/06/05,08:54:00,c2A,90.00,44.2,7.50,4.60,5.489e+15,8.262e+30
2010/12/12,08:39:00,c2A,44.00,43.32,7.20,5.34,1.700e+15,2.628e+30
2013/04/24,06:23:17,C2,38.00,150.44,3.00,2.36,2.295e+14,2.548e+29
2013/05/27,19:46:42,C2,42.00,148.65,3.10,2.49,6.884e+14,7.946e+29
2013/05/27,19:40:00,c1A,47.00,226.23,3.10,2.07,2.274e+15,2.211e+30
2013/06/07,23:10:19,c1B,52.00,147.28,2.50,1.93,2.350e+15,2.189e+30
2013/06/07,23:10:19,c1B,54.00,147.8,2.50,1.92,2.399e+15,2.230e+30
2013/01/29,03:10:55,c1B,46.00,335.28,3.00,2.20,7.402e+14,7.640e+29
2013/02/09,06:15:52,c1B,40.00,314.74,1.80,1.53,5.545e+14,3.731e+29
2011/06/05,07:39:25,c2B,80.00,314.55,5.20,3.86,2.645e+15,3.799e+30
2013/02/09,08:24:00,c2A,63.00,58.34,9.50,5.47,3.086e+15,4.739e+30
2013/05/27,21:39:27,c2B,88.00,185.49,8.00,5.29,1.839e+15,2.896e+30
2013/05/17,22:54:00,c2A,50.00,188.58,8.50,5.11,2.802e+15,4.252e+30
2010/12/14,15:40:51,c1B,75.00,319.67,2.45,1.86,2.756e+15,2.542e+30
2013/05/27,22:54:00,c2A,50.00,216.69,12.80,7.86,3.785e+15,6.285e+30
2011/03/17,12:55:00,c1A,63.00,241.88,3.40,2.31,4.525e+15,5.034e+30
2010/12/12,06:54:51,c2B,42.00,321.12,4.20,3.63,2.551e+14,3.563e+29
2013/01/23,14:35:56,c1B,58.00,317.8,3.70,3.10,1.264e+15,1.749e+30
2013/05/27,21:24:00,c2A,56.00,215.62,7.80,5.08,2.654e+15,4.063e+30
2013/05/17,20:20:00,c1A,32.00,215.31,1.80,1.56,3.930e+14,2.735e+29
2010/12/12,05:30:51,c1B,45.00,322.03,2.80,1.63,1.756e+15,1.265e+30
2013/05/17,21:24:00,c2A,45.00,197.77,4.00,3.14,9.339e+14,1.223e+30
2011/06/05,09:39:00,c2A,120.00,44.74,9.50,5.29,6.469e+15,1.010e+31
2011/06/05,05:24:00,c2A,65.00,49.49,4.00,2.99,3.142e+14,4.052e+29
2013/05/27,20:39:00,c2A,56.00,216.25,6.00,3.94,1.933e+15,2.767e+30
2010/12/14,17:39:51,c2B,87.00,320.13,10.80,6.61,5.287e+15,8.576e+30
2013/05/27,23:24:27,c2B,92.00,181.83,13.00,7.73,3.618e+15,6.044e+30
2013/05/27,19:58:42,C2,45.00,150.23,3.40,2.74,8.673e+14,1.061e+30
2013/01/23,17:54:00,c2A,85.00,35.18,13.00,7.32,3.609e+15,5.966e+30
2013/06/08,00:24:00,c2A,76.00,151.4,7.50,4.42,5.665e+15,8.389e+30
2013/05/17,21:39:00,c2A,43.00,196.26,5.00,3.46,1.360e+15,1.845e+30
2013/05/18,00:24:27,c2B,54.00,142.01,14.00,8.51,2.578e+15,4.316e+30
2013/05/18,00:24:27,c2B,54.00,141.94,13.70,8.48,2.569e+15,4.299e+30
2013/01/23,15:54:00,c2A,87.00,34.63,7.50,4.45,2.295e+15,3.427e+30
2013/04/24,06:00:00,c1A,38.00,227.31,2.10,1.47,7.116e+15,4.359e+30
2013/05/02,08:54:00,c2A,87.00,40.88,10.00,6.83,4.056e+15,6.666e+30
2010/12/12,08:24:51,c2B,47.00,317.95,6.40,4.79,1.294e+15,1.956e+30
2010/12/12,08:24:51,c2B,47.00,317.86,6.60,4.92,1.409e+15,2.143e+30
2010/12/12,08:24:51,c2B,47.00,317.84000000000003,6.70,4.98,1.461e+15,2.228e+30
2013/01/29,04:54:00,c2A,55.00,33.59,5.60,3.94,6.733e+14,9.522e+29
2013/01/29,04:54:55,c2B,58.00,350.89,5.00,3.97,3.321e+14,4.759e+29
