date (yyyy/mm/dd),time (UT),detector,AW (deg),Central PA (deg),height (Rs),center_mass (Rs),mass (g),potential (erg)
2011/06/05,07:39:00,c2A,90.00,43.37,4.80,3.44,3.243e+15,4.480e+30
2013/05/17,21:25:27,c1B,56.00,142.93,4.10,2.74,1.905e+15,2.328e+30
2011/06/05,05:55:12,C2,40.00,38.55,3.20,2.52,9.720e+14,1.123e+30
2013/04/24,08:39:28,c2B,57.00,170.22,10.50,6.05,1.490e+15,2.366e+30
2013/05/02,10:24:27,c2B,60.00,339.89,11.40,8.06,3.782e+15,6.341e+30
2011/03/17,14:39:26,c2B,74.00,120.06,12.00,6.58,7.557e+15,1.216e+31
2013/06/07,23:35:19,c1B,57.00,154.18,4.10,2.68,3.286e+15,3.958e+30
2013/02/09,09:24:00,c2A,66.00,57.4,13.00,7.16,3.534e+15,5.693e+30
2011/06/05,03:20:25,c1B,62.00,315.36,2.40,2.23,2.678e+14,3.195e+29
2010/12/14,15:35:00,c1A,69.00,38.43,2.20,1.77,2.105e+15,1.826e+30
2013/05/17,21:10:00,c1A,54.00,201.15,3.50,2.68,1.060e+15,1.345e+30
2010/12/14,15:55:51,c1B,75.00,319.52,3.30,2.34,3.175e+15,3.598e+30
2013/05/17,21:20:27,c1B,56.00,142.45,3.90,2.63,1.758e+15,2.103e+30
2013/01/23,16:39:00,c2A,87.00,34.06,9.20,5.35,2.788e+15,4.345e+30
2013/01/29,04:35:50,C2,51.00,344.55,4.90,3.26,6.619e+14,8.613e+29
2011/06/05,06:24:00,c2A,77.00,45.96,3.80,2.94,1.033e+15,1.333e+30
2010/12/12,06:09:34,C2,35.00,27.04,3.00,2.68,1.585e+14,1.930e+29
2011/06/05,06:09:55,C2,44.00,38.88,3.40,2.60,1.189e+15,1.403e+30
2010/12/12,08:54:00,c2A,44.00,43.46,7.70,5.74,1.858e+15,2.920e+30
2013/04/24,06:47:17,C2,43.00,153.92,4.20,2.64,7.464e+14,8.803e+29
