,ID,T_REC,USFLUX,ERRVF,MEANJZH,ERRMIH,TOTUSJH,ERRTUI,ABSNJZH,ERRTAI,MEANPOT,ERRMPOT,TOTPOT,ERRTPOT
38,1.200e+01,2013.06.08_04:36:00.000_TAI,1.899e+21,3.914e+18,-4.559e-03,7.767e-04,6.228e+01,2.776e+00,1.629e+01,2.776e+00,2.497e+03,1.829e+01,1.185e+22,8.679e+19
39,1.200e+01,2013.06.08_04:48:00.000_TAI,1.556e+21,3.343e+18,-2.299e-03,8.064e-04,4.144e+01,2.318e+00,6.609e+00,2.318e+00,1.765e+03,1.557e+01,6.737e+21,5.944e+19
40,1.200e+01,2013.06.08_05:00:00.000_TAI,1.369e+21,2.951e+18,1.371e-03,6.960e-04,2.819e+01,1.762e+00,3.471e+00,1.762e+00,1.219e+03,1.514e+01,4.099e+21,5.090e+19
41,1.200e+01,2013.06.08_05:12:00.000_TAI,1.195e+21,2.748e+18,1.478e-03,6.763e-04,2.142e+01,1.489e+00,3.255e+00,1.489e+00,6.276e+02,9.884e+00,1.835e+21,2.890e+19
42,1.200e+01,2013.06.08_05:24:00.000_TAI,1.107e+21,2.312e+18,4.515e-04,5.443e-04,1.643e+01,1.115e+00,9.246e-01,1.115e+00,5.575e+02,7.291e+00,1.516e+21,1.983e+19
43,1.200e+01,2013.06.08_05:36:00.000_TAI,9.936e+20,1.999e+18,-1.769e-05,5.465e-04,1.420e+01,9.853e-01,3.189e-02,9.853e-01,6.380e+02,6.274e+00,1.528e+21,1.502e+19
44,1.200e+01,2013.06.08_05:48:00.000_TAI,9.267e+20,2.004e+18,1.446e-03,5.401e-04,1.523e+01,9.517e-01,2.548e+00,9.517e-01,7.069e+02,6.703e+00,1.655e+21,1.569e+19
45,1.200e+01,2013.06.08_06:00:00.000_TAI,9.419e+20,1.961e+18,5.000e-04,5.679e-04,1.138e+01,9.683e-01,8.526e-01,9.683e-01,5.000e+02,6.035e+00,1.132e+21,1.367e+19
46,1.200e+01,2013.06.08_06:12:00.000_TAI,8.349e+20,1.852e+18,5.323e-04,6.123e-04,9.817e+00,9.062e-01,7.878e-01,9.062e-01,4.452e+02,5.691e+00,8.751e+20,1.119e+19
47,1.200e+01,2013.06.08_06:24:00.000_TAI,8.306e+20,1.988e+18,6.707e-04,5.810e-04,9.889e+00,9.081e-01,1.048e+00,9.081e-01,4.703e+02,6.555e+00,9.763e+20,1.361e+19
48,1.200e+01,2013.06.08_06:36:00.000_TAI,8.315e+20,1.900e+18,7.773e-04,5.617e-04,9.944e+00,8.718e-01,1.206e+00,8.718e-01,4.049e+02,5.710e+00,8.351e+20,1.178e+19
49,1.200e+01,2013.06.08_06:48:00.000_TAI,8.016e+20,1.886e+18,1.043e-03,5.771e-04,9.653e+00,8.605e-01,1.556e+00,8.605e-01,4.144e+02,5.537e+00,8.206e+20,1.096e+19
50,1.200e+01,2013.06.08_07:00:00.000_TAI,7.590e+20,1.836e+18,3.465e-04,5.817e-04,1.015e+01,8.248e-01,4.914e-01,8.248e-01,5.013e+02,6.628e+00,9.453e+20,1.250e+19
51,1.200e+01,2013.06.08_07:12:00.000_TAI,7.458e+20,1.921e+18,4.874e-04,5.924e-04,9.284e+00,8.347e-01,6.868e-01,8.347e-01,4.454e+02,6.407e+00,8.335e+20,1.199e+19
52,1.200e+01,2013.06.08_07:24:00.000_TAI,7.650e+20,2.067e+18,1.295e-03,5.950e-04,9.312e+00,8.771e-01,1.910e+00,8.771e-01,4.769e+02,7.147e+00,9.335e+20,1.399e+19
53,1.200e+01,2013.06.08_07:36:00.000_TAI,7.556e+20,1.939e+18,8.523e-04,5.958e-04,8.755e+00,8.502e-01,1.216e+00,8.502e-01,5.773e+02,7.149e+00,1.094e+21,1.355e+19
54,1.200e+01,2013.06.08_07:48:00.000_TAI,6.847e+20,1.775e+18,2.321e-04,5.954e-04,1.111e+01,7.900e-01,3.080e-01,7.900e-01,9.873e+02,8.577e+00,1.740e+21,1.512e+19
55,1.200e+01,2013.06.08_08:00:00.000_TAI,7.192e+20,2.011e+18,9.457e-05,5.269e-04,1.132e+01,8.098e-01,1.454e-01,8.098e-01,9.319e+02,9.446e+00,1.902e+21,1.928e+19
56,1.200e+01,2013.06.08_08:12:00.000_TAI,6.538e+20,1.561e+18,3.930e-04,6.102e-04,1.196e+01,7.329e-01,4.720e-01,7.329e-01,1.068e+03,9.457e+00,1.704e+21,1.508e+19
57,1.200e+01,2013.06.08_08:24:00.000_TAI,5.998e+20,1.508e+18,8.739e-04,6.572e-04,8.133e+00,7.098e-01,9.438e-01,7.098e-01,6.907e+02,7.724e+00,9.907e+20,1.108e+19
58,1.200e+01,2013.06.08_08:36:00.000_TAI,5.910e+20,1.431e+18,8.691e-04,6.620e-04,7.101e+00,6.945e-01,9.117e-01,6.945e-01,6.842e+02,8.056e+00,9.531e+20,1.122e+19
59,1.200e+01,2013.06.08_08:48:00.000_TAI,5.638e+20,1.520e+18,-2.804e-04,6.266e-04,8.190e+00,6.648e-01,2.975e-01,6.648e-01,6.861e+02,8.433e+00,9.667e+20,1.188e+19
