ID,Date,NOAA_AR,Comments_1,Links,Solar_region,Comments_2,FIL_activation_time,Flare_presence,fil_lon1,fil_lat1,fil_lon2,fil_lat2,fil_length,fil_length.Mm,gcs_lat,gcs_lon,gcs_radial_vel_at2,gcs_radial_vel_at6,gcs_mean_acc1to6,gcs_awd,gcs_awd_err,gcs_awl,gcs_awl_err,gcs_awl_awd_ratio,gcs_aspect_ratio,gcs_axial_vel,gcs_lat_vel,ar_source,ar_unsigned_flux,ar_mean_current_helicity,ar_total_unsigned_current_helicity,ar_abs_net_current_helicity,ar_excess_mag_energy_density,ar_free_energy_density,ar_time_tilt,ar_tilt,pil_length,EUV loops comments,Instrument,ROI box [arcsec],EUV loops data start time,EUV loops data end time,Favorite link Hebe
21,24/2/2013,---,,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130224_0621&etime=20130224_1242&img1=lasc2rdf&title=20130116.071205.p201g;V=860km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2rd&img2=sta_cor2rd&stime=20130224_0600&etime=20130224_1500 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130224_0600&etime=20130224_1200,Backsided. Frontsided para Stereo B.,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,27/2/2013,---,,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130227_0912&etime=20130227_2256&img1=lasc2rdf&title=20130227.111205.p335g;V=303km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130227_0000&etime=20130228_0000                        https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130227_0000&etime=20130228_0000 https://sdo.gsfc.nasa.gov/data/dailymov/movie.php?q=20130227_1024_0304,Backsided. Muy polar. Creemos que debería verse desde el disco desde A. Se dirigiría hacia A pero no lo visualizamos.,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,2/3/2013,---,,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130302_0617&etime=20130302_1817&img1=lasc2rdf&title=20130302.133620.p082g;V=387km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130302_0000&etime=20130303_0000,Es backsided,"El CME polar con la cavidad circular que se aprecia en Lasco. Cuidado que a las 12:24 aparece otra CME angosto que no es de nuestro interés. Está en el limbo de stereo B, muy backsided, no se aprecia en stereo A",,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,12/3/2013,11690.11691,,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130312_0925&etime=20130312_1633&img1=lasc2rdf&title=20130312.103605.p025g;V=1024km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130320_0400&etime=20130321_0400 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130312_0000&etime=20130313_0000,Meridiano Central. Es notoria la existencia del filamento.,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,20/3/2013,---,,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130320_1800&etime=20130321_0312&img1=lasc2rdf&title=20130320.212405.p106g;V=158km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130320_0400&etime=20130321_0400                https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130320_0400&etime=20130321_0400,Backsided. Muy polar. Y no se observa la fuente en ninguna de los EUVI ni en AIA. ,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,24/3/2013,---,"No hacemos pro, eliminamos de la lista. Es muy tenue.",https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130324_0748&etime=20130324_2156&img1=lasc2rdf&title=20130324.074805.p345g;V=180km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130324_0000&etime=20130325_0000,Cuadrante Noroeste (AIA). Cercana al limbo noreste (EUVI A). No se aprecia desde EUVI B.,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,28/3/2013,---,Paper 2018,No hacemos el pro porque ya tenemos los parámetros en el paper.,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,3/4/2013,---,"Filamento que sale al norte, sin AR",https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130403_0657&etime=20130403_0718&img1=lasc2rdf&title=20130403.085746.p012g;V=479km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130402_2000&etime=20130404_0000 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130402_1600&etime=20130404_1600 https://sdo.gsfc.nasa.gov/data/aiahmi/browse/movie.php,Sobre el meridiano central al norte,Las imágenes de Lasco C2 comienzan a las 8:30 cuando la CME ya se ha ido del campo visual y podría hacerse una excepción y verse desde Lasco C3. Por ello los horarios de Lasco correponden a Lasco C3 en este caso.,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,7/4/2013,---,,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130407_0331&etime=20130407_1236&img1=lasc2rdf&title=20130407.050006.p271g;V=185km/s                                                                                                      https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130407_0000&etime=20130407_2359  https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130407_0000&etime=20130408_1200                                                                                                                                                                                                                                          ,Backsided. Aunque puede apreciarse algo desde SDO.,"No se aprecia con claridad desde EUVI B, pero creemos que podría estar ocurriendo en el frente del disco desde B.",,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,19/4/2013,---,"Filamento en polo norte, muy en limbo",https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130419_1039&etime=20130419_2312&img1=lasc2rdf&title=20130419.170005.p276g;V=454km/s                                                            https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130419_0000&etime=20130420_0000 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130419_0000&etime=20130420_0000 https://sdo.gsfc.nasa.gov/data/dailymov/movie.php?q=20130419_1024_0304,"Cuadrante Noroeste, limbo solar.",,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,20/04/2013,---,,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130419_2200&etime=20130420_1812&img1=lasc2rdf&title=20130419.170005.p276g;V=454km/s https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130419_2200&etime=20130420_1800 https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e195&img2=sta_e195&stime=20130419_1600&etime=20130420_1600 https://sdo.gsfc.nasa.gov/data/dailymov/movie.php?q=20130420_1024_0304,Backsided. ,"Cuidado, día de alta actividad solar. A partir de las 5:00:00 desde Lasco se ven otras CME. Dificultad al observar la fuente.",,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,23/04/2013,---,Filamento sobre polo sur. no hay AR,https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?stime=20130423_0000&etime=20130423_2312&img1=lasc2rdf&title=20130419.170005.p276g;V=454km/s                                                                                                       https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_cor2&img2=sta_cor2&stime=20130423_0000&etime=20130424_0000                                                                                                                                                                                                                                             https://cdaw.gsfc.nasa.gov/movie/make_javamovie.php?img1=stb_e304&img2=sta_e304&stime=20130422_2000&etime=20130424_1200 https://sdo.gsfc.nasa.gov/data/dailymov/movie.php?q=20130423_1024_0304,"Cuadrante Sureste, limbo solar.",,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
